Param,NLL_Mean,NLL_Sd,CIC_Mean,CIC_Sd
0,2.46,2.15,93.38,24.87
0.01,2.46,2.13,94.42,22.95
0.1,2.56,1.99,95.42,20.9
1,2.96,1.61,96.78,17.67
10,4.36,1.34,48.62,49.99
100,7.53,3.1,27,44.4
1000,11.92,4.99,12.3,32.85
