Param,NLL_Mean,NLL_Sd,CIC_Mean,CIC_Sd
0,2.47,2.19,91.67,27.63
0.01,2.46,2.18,91.7,27.59
0.1,2.45,2.18,92.25,26.74
1,2.44,2.13,94.62,22.56
10,2.63,1.91,95.97,19.66
100,3.1,1.49,97.6,15.31
1000,3.76,1.04,98.12,13.57
