Experiment,Group,Group2,Truth,True_diff_mean,PB_diff_mean,CI_width,LM_diff_mean,RMSE_PBtoT,RMSE_LMtoT
Huang_2020,S1,S5,TRUE,-3.33,-2.95 (1.64),2.24 (2.72),-2.95 (1.64),1.68 (2.57),1.68 (2.57)
Huang_2020,S2,S5,FALSE,0,-0.04 (0.77),1.46 (1.79),-0.04 (0.77),0.77 (1.77),0.77 (1.77)
Huang_2020,S2,S5,TRUE,-3.18,-2.91 (1.68),2.28 (2.89),-2.91 (1.68),1.7 (2.58),1.7 (2.58)
Huang_2020,S3,S5,FALSE,0,-0.03 (0.75),1.49 (1.79),-0.03 (0.75),0.75 (1.74),0.75 (1.74)
Huang_2020,S3,S5,TRUE,-2.82,-2.64 (1.49),2.06 (2.57),-2.64 (1.49),1.5 (2.23),1.5 (2.23)
Huang_2020,S4,S5,FALSE,0,-0.1 (0.76),1.51 (1.84),-0.1 (0.76),0.76 (1.75),0.76 (1.75)
Huang_2020,S4,S5,TRUE,-1.89,-1.87 (1.2),1.84 (2.7),-1.87 (1.2),1.2 (1.97),1.2 (1.97)
Bouyssie_2020,100amol,50fmol,FALSE,0,0.14 (0.38),1.17 (1.2),0.14 (0.38),0.4 (0.95),0.4 (0.95)
Bouyssie_2020,100amol,50fmol,TRUE,-8.97,-5.19 (1.91),2.65 (2.54),-5.19 (1.91),4.22 (4.29),4.22 (4.29)
Bouyssie_2020,10amol,50fmol,FALSE,0,0.03 (0.37),1.24 (1.34),0.03 (0.37),0.38 (0.92),0.38 (0.92)
Bouyssie_2020,10amol,50fmol,TRUE,-12.29,-5.39 (1.96),2.89 (2.53),-5.39 (1.96),7.17 (5.44),7.17 (5.44)
Bouyssie_2020,10fmol,50fmol,FALSE,0,0.11 (0.34),1.1 (1.18),0.11 (0.34),0.35 (0.92),0.35 (0.92)
Bouyssie_2020,10fmol,50fmol,TRUE,-2.32,-2.12 (0.61),0.89 (0.43),-2.12 (0.61),0.64 (1.17),0.64 (1.17)
Bouyssie_2020,1fmol,50fmol,FALSE,0,0.04 (0.37),1.12 (1.19),0.04 (0.37),0.37 (0.95),0.37 (0.95)
Bouyssie_2020,1fmol,50fmol,TRUE,-5.64,-4.4 (1.32),1.47 (1.42),-4.4 (1.32),1.8 (2.64),1.8 (2.64)
Bouyssie_2020,250amol,50fmol,FALSE,0,-0.05 (0.39),1.2 (1.22),-0.05 (0.39),0.39 (0.93),0.39 (0.93)
Bouyssie_2020,250amol,50fmol,TRUE,-7.64,-5.14 (1.72),2.02 (2.12),-5.14 (1.72),3.03 (3.62),3.03 (3.62)
Bouyssie_2020,25fmol,50fmol,FALSE,0,0.13 (0.32),1.22 (1.25),0.13 (0.32),0.35 (0.82),0.35 (0.82)
Bouyssie_2020,25fmol,50fmol,TRUE,-1,-0.81 (0.26),0.77 (0.14),-0.81 (0.26),0.33 (0.56),0.33 (0.56)
Bouyssie_2020,500amol,50fmol,FALSE,0,0.04 (0.37),1.15 (1.18),0.04 (0.37),0.37 (0.94),0.37 (0.94)
Bouyssie_2020,500amol,50fmol,TRUE,-6.64,-4.92 (1.5),1.64 (1.75),-4.92 (1.5),2.27 (3.11),2.27 (3.11)
Bouyssie_2020,50amol,50fmol,FALSE,0,-0.04 (0.38),1.2 (1.22),-0.04 (0.38),0.38 (0.92),0.38 (0.92)
Bouyssie_2020,50amol,50fmol,TRUE,-9.97,-5.35 (2.01),2.6 (2.48),-5.35 (2.01),5.03 (4.65),5.03 (4.65)
Bouyssie_2020,5fmol,50fmol,FALSE,0,0.01 (0.36),1.15 (1.16),0.01 (0.36),0.36 (0.93),0.36 (0.93)
Bouyssie_2020,5fmol,50fmol,TRUE,-3.32,-3.08 (0.81),1.22 (1.35),-3.08 (0.81),0.84 (1.5),0.84 (1.5)
