Distrib_compare,mean_diff_Mean,mean_diff_Sd,MSE_Mean,MSE_Sd,CI_coverage_Mean,CI_coverage_Sd
Mean_10_Cov_correlated,-10.0154,0.4712,0.5983,0.5863,100,0
Mean_1_Cov_correlated,-1.0195,0.4996,0.617,0.5787,100,0
Mean_1_Cov_diag,-0.9934,0.4712,0.6433,0.6209,100,0
Mean_1_Cov_high_correlated,-0.9486,0.9459,1.4593,1.3256,99.0868,9.5344
